hospital
orange
can
Look
teacher
barber
nose
mouth
shoulder
neck
school
bank
airport
barber
mouth
neck
nose
shoulder
airport
bank
school
teacher
mouth
neck
nose
shoulder
teacher
teacher
bank
school
look
mouth
neck
nose
shoulder
school
barber
teacher
look
barber
bank
airport
bank
Nose
Mouth
Neck
Shoulder
Nose
Mouth
Neck
Shoulder
look
airport
airport
barber
teacher
school
bank
airport
barber
school
Father
Listen
student
dentist
face
chicken
apple
coconut
papaya
mango
temple
walk
sleep
May
chicken
do
listen
sleep
walk
cold
face
hair
head
apple
coconut
mango
papaya
volleyball
market
police station
father
student
face
hair
head
May
apple
coconut
mango
papaya
chicken
volleyball
chicken
dentist
boat
market
Police station
supermarket
listen
sleep
walk
cold
hair
head
apple
coconut
mango
papaya
chicken
garage
market
supermarket
temple
boat
boat
boat
cold
volleyball
dentist
student
do
listen
sleep
walk
father
garage
supermarket
student
dentist
volleyball
do
may
police station
market
supermarket
temple
do
may
volleyball
Face
Hair
Head
Father
Face
Hair
Head
Father
listen
sleep
walk
boat
garage
garage
police station
student
coconut
apple
papaya
mango
Cold
cold
dentist
do
may
temple
market
police station
garage
supermarket
temple
Brother
Sister
Mother
Open
Close
doctor
postman
nurse
ear
eye
chin
leg
hand
big
small
noodle
coffee
glass
spoon
soup
plate
is
bird
dolphin
rabbit
horse
tiger
lion
turtle
banana
durian
grape
pineapple
watermelon
bus stop
house
Bathroom
Bedroom
lamp
glass
spoon
plate
eat
swim
write
bird
elephant
elephant
fish
horse
lion
rabbit
tiger
turtle
go
play
read
swim
write
hot
ear
eye
hand
leg
noodle
salad
soup
banana
grape
pineapple
watermelon
library
brother
daughter
mother
sister
son
big
close
has
have
is
open
small
chin
ear
eye
finger
hand
leg
dress
glass
lamp
banana
durian
pineapple
bird
dolphin
elephant
fish
horse
lion
rabbit
tiger
football
coffee
fish
noodle
salad
soup
doctor
nurse
postman
bathroom
bedroom
bus stop
house
playground
clean
close
eat
go
open
play
read
study
swim
wash
write
big
small
clean
hot
ear
eye
finger
hand
leg
banana
grape
pineapple
watermelon
salad
soup
coffee
bird
elephant
fish
horse
lion
rabbit
tiger
bus station
playground
restaurant
turtle
dress
dress
fall
hot
football
doctor
nurse
postman
clean
close
eat
go
open
play
read
study
swim
wash
brother
daughter
sister
son
house
bathroom
bedroom
lamp
glass
plate
spoon
department store
restaurant
dolphin
fall
library
study
bus stop
football
dolphin
turtle
has
have
fall
restaurant
is
have
has
durian
wash
football
Chin
Finger
Mother
Son
Daughter
Chin
Finger
Mother
Son
Daughter
Brother
Sister
Library
bedroom
bathroom
plate
spoon
lamp
read
write
eat
clean
fall
dress
play
wash
bus station
department store
bus station
department store
study
playground
grape
watermelon
durian
coffee
salad
noodle
Big
Small
Hot
Go
postman
doctor
nurse
is
have
has
bus stop
house
library
bus station
playground
restaurant
department store
Who
Chair
Table
policeman
singer
fisherman
knee
toe
red
black
blue
yellow
pink
white
purple
brown
green
flower
tea
bowl
cookies
What
name
am
are
ant
bat
bear
bee
cat
cow
duck
dog
giraffe
monkey
shark
spider
zebra
pig
guava
cherry
rambutan
fine
classroom
shop
book store
church
chair
fork
knife
bowl
dish
sink
stove
salt
run
jump
sit
black
blue
brown
green
pink
purple
red
white
yellow
animal
ant
bat
bear
bee
buffalo
cat
cow
dog
duck
goat
monkey
pig
shark
sheep
snake
spider
jump
run
sit
cloudy
fine
arm
foot
breakfast
rice
cherry
guava
lemon
rambutan
Zoo
aunt
uncle
and
comb
English
flower
give
like
name
soap
star
Thai
What
Who
Name
arm
foot
knee
toe
tooth
blouse
jacket
pants
shoes
shorts
skirt
socks
T-shirt
chair
dish
floor
flower
table
television
vase
lemon
animal
ant
bat
bear
bee
buffalo
cat
cow
dog
duck
goat
pig
sheep
snake
spider
zebra
badminton
basketball
rugby
table tennis
breakfast
cookies
hamburger
juice
rice
salt
